Achromobacter_spp.	nusA,rpoB,eno,gltB,lepA,nuoL,nrdA
Acinetobacter_baumannii#1	Oxf_gltA,Oxf_gyrB,Oxf_gdhB,Oxf_recA,Oxf_cpn60,Oxf_gpi,Oxf_rpoD
Acinetobacter_baumannii#2	Pas_cpn60,Pas_fusA,Pas_gltA,Pas_pyrG,Pas_recA,Pas_rplB,Pas_rpoB
Aeromonas_spp.	gyrB,groL,gltA,metG,ppsA,recA
Aggregatibacter_actinomycetemcomitans	adk,atpG,frdB,mdh,pgi,recA,zwf
Anaplasma_phagocytophilum	pheS,glyA,fumC,mdh,sucA,dnaN,atpA
Arcobacter_spp.	aspA,atpA,glnA,gltA,glyA,pgm,tkt
Aspergillus_fumigatus	ANX4,BGT1,CAT1,LIP,MAT1_2,SODB,ZRF2
Bacillus_cereus	glp,gmk,ilv,pta,pur,pyc,tpi
Bacillus_licheniformis	adk,ccpA,recF,rpoB,spo0A,sucC
Bacillus_subtilis	glpF,ilvD,pta,purH,pycA,rpoD,tpiA
Bacteroides_fragilis	dnaJ,fusA,groL,prfA,recA,rpoB,rprX
Bartonella_bacilliformis	ftsZ,flaA,ribC,rnpB,rpoB,bvrR,groEL
Bartonella_henselae	16S,batR,ftsZ,gltA,groEL,nlpD,ribC,rpoB
Bartonella_washoensis	16S,ftsZ,gltA,groEL,ribC,rpoB
Bordetella_spp.	adk,fumC,glyA,tyrB,icd,pepA,pgm
Borrelia_spp.	clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA
Brachyspira_hampsonii	Bha_adh,Bha_est,Bha_gdh,Bha_glpK,Bha_pgm,Bha_thi
Brachyspira_hyodysenteriae	Bhy_adh,Bhy_alp,Bhy_est,Bhy_gdh,Bhy_glpK,Bhy_pgm,Bhy_thi
Brachyspira_intermedia	Bin_adh,Bin_alp,Bin_est,Bin_gdh,Bin_glpK,Bin_pgm,Bin_thi
Brachyspira_pilosicoli	Bpi_adh,Bpi_alp,Bpi_est,Bpi_gdh,Bpi_glpK,Bpi_pgm,Bpi_thi
Brachyspira_spp.	Bra_adh,Bra_alp,Bra_est,Bra_gdh,Bra_glp,Bra_pgm,Bra_thi
Brucella_spp.	gap,aroA,glk,dnaK,gyrB,trpE,cobQ,int_hyp,omp25
Burkholderia_cepacia_complex	atpD,gltB,gyrB,recA,lepA,phaC,trpB
Burkholderia_pseudomallei	ace,gltB,gmhD,lepA,lipA,narK,ndh
Campylobacter_concisus#curvus	Cco_aspA,Cco_atpA,Cco_glnA,Cco_gltA,Cco_glyA,Cco_ilvD,Cco_pgm
